Feature,Importance
grade_C,0.09275582
home_ownership_RENT,0.08951723
grade_B,0.07725009
sub_grade,0.07436456
verification_status_Source Verified,0.073877424
grade_D,0.06373781
initial_list_status_w,0.062085994
inq_last_6mths,0.061942637
emp_length_years,0.05582965
grade_F,0.046685595
verification_status_Verified,0.04594499
grade_E,0.039858066
purpose,0.025464166
home_ownership_OWN,0.021752428
open_acc,0.021739783
int_rate,0.021245038
term_months,0.020613236
addr_state,0.014578697
grade_G,0.014083828
loan_to_income_ratio,0.00919204
pub_rec,0.008116011
annual_inc,0.007305811
tot_cur_bal,0.004633842
total_acc,0.004255319
dti,0.003927534
Unnamed: 0,0.0034302108
delinq_2yrs,0.0031845835
mths_since_last_delinq,0.0031821192
revol_util,0.0029078736
funded_amnt,0.0028776038
installment_to_income_ratio,0.002671282
mths_since_last_record,0.0025176439
total_rev_hi_lim,0.0024936362
revol_bal_to_income_ratio,0.002412103
loan_amnt,0.0022172797
funded_amnt_inv,0.0022010347
home_ownership_OTHER,0.0019551937
mths_since_last_major_derog,0.001934094
tot_coll_amt,0.0018128757
revol_bal,0.0017993121
installment,0.0016456756
home_ownership_NONE,0.0
home_ownership_MORTGAGE,0.0
