Unnamed: 0,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,target
355425,20298448,22561206,11000,11000,11000.0, 60 months,14.49,258.76,C,C4,Relay Technician,< 1 year,RENT,100000.0,Source Verified,Jul-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20298448,,debt_consolidation,Debt consolidation,032xx,NH,9.73,0.0,Dec-02,0.0,81.0,,11.0,0.0,8049,62.4,27.0,w,0.0,0.0,11978.82,11978.82,11000.0,978.82,0.0,0.0,0.0,Mar-15,4967.5,,Mar-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,28942.0,,,,,,,,,,,,13100.0,,,,0
189230,1687012,1969306,2000,2000,2000.0, 36 months,13.11,67.5,B,B4,Associated Heating Group,6 years,RENT,36000.0,Source Verified,Nov-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1687012,,major_purchase,Paying my brother back,601xx,IL,29.57,0.0,Sep-88,1.0,75.0,,9.0,0.0,13699,78.3,13.0,f,0.0,0.0,2429.733526,2429.73,2000.0,429.73,0.0,0.0,0.0,Nov-15,67.23,,Jan-15,0.0,75.0,1,INDIVIDUAL,,,,0.0,0.0,35438.0,,,,,,,,,,,,17500.0,,,,0
15369,610893,783413,30000,30000,29725.0, 60 months,22.48,836.78,G,G2,wells fargo,3 years,MORTGAGE,64000.0,Verified,May-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=610893,  Borrower added on 05/09/11 > loan will be used to consolidate credit card debt and a small portion will be used to to purchase new equipment for side business<br/>,debt_consolidation,credit card payoff,303xx,GA,17.36,0.0,Dec-96,0.0,72.0,,5.0,0.0,26469,99.9,18.0,f,0.0,0.0,41888.31,41504.13,29999.99,11888.32,0.0,0.0,0.0,Jun-13,4070.17,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0
247320,35116322,37797697,12000,12000,12000.0, 36 months,12.39,400.82,C,C1,EHS Engineer,4 years,MORTGAGE,72000.0,Not Verified,Nov-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=35116322,,credit_card,Credit card refinancing,301xx,GA,33.38,0.0,Nov-93,0.0,24.0,109.0,19.0,1.0,12528,70.0,48.0,f,0.0,0.0,12303.64,12303.64,12000.0,303.64,0.0,0.0,0.0,Jan-15,11911.08,,Jan-16,0.0,51.0,1,INDIVIDUAL,,,,0.0,0.0,281666.0,,,,,,,,,,,,17900.0,,,,0
232815,37770294,40533024,12000,12000,12000.0, 36 months,13.66,408.16,C,C3,Personnel Analyst 3,5 years,MORTGAGE,60000.0,Not Verified,Dec-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37770294,,debt_consolidation,Debt consolidation,191xx,PA,11.02,4.0,Mar-05,0.0,23.0,,12.0,0.0,10658,48.0,23.0,f,0.0,0.0,13123.92,13123.92,12000.0,1123.92,0.0,0.0,0.0,Sep-15,9867.75,,Sep-15,0.0,32.0,1,INDIVIDUAL,,,,0.0,0.0,154774.0,,,,,,,,,,,,22200.0,,,,0
229471,1093224,1330775,5000,5000,5000.0, 36 months,16.29,176.51,D,D1,Northrop Grumman,10+ years,OWN,92000.0,Verified,Jan-12,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1093224,"  Borrower added on 01/04/12 > This loan is to consolidate 2 credit card loans that I used to pay off veterinarian bills.  Unfortunately, I am past the introductory rate and the payments increased.<br>",debt_consolidation,Debt Consolidation,207xx,MD,23.65,0.0,Oct-95,3.0,,,7.0,0.0,63429,98.6,15.0,f,0.0,0.0,1813.73,1813.73,1030.65,555.06,0.0,228.02,2.13,Oct-12,176.51,,Mar-13,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,1
205098,1450223,1703028,10000,10000,10000.0, 36 months,6.62,307.04,A,A2,Hirata North America,2 years,MORTGAGE,125000.0,Not Verified,Aug-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1450223,  Borrower added on 07/31/12 > Appliances for a kitchen refurbishment<br>,home_improvement,Home Improvements,483xx,MI,11.36,0.0,May-99,0.0,,,5.0,0.0,13956,41.4,35.0,f,0.0,0.0,11007.27726,11007.28,10000.0,1007.28,0.0,0.0,0.0,Jan-15,2416.82,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0
155001,3806483,4850163,10000,10000,10000.0, 36 months,6.03,304.36,A,A1,University of Houston,10+ years,MORTGAGE,72000.0,Source Verified,Mar-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3806483,,major_purchase,AC Replacement,770xx,TX,19.05,0.0,Mar-95,0.0,,,10.0,0.0,12828,17.7,17.0,w,0.0,0.0,10935.37,10935.37,10000.0,935.37,0.0,0.0,0.0,Nov-15,1804.57,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,144905.0,,,,,,,,,,,,72600.0,,,,0
25196,589815,757647,7200,7200,6933.829304999999, 60 months,11.86,159.66,B,B5,,,MORTGAGE,49000.0,Not Verified,Sep-10,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=589815,  Borrower added on 09/29/10 > I need to do some home improvements and use the rest to purchase gifts for my grandchildren - Christmas is just around the corner<br/>,other,Personal Loan,950xx,CA,0.0,0.0,Nov-77,0.0,,,2.0,0.0,0,0.0,19.0,f,0.0,0.0,8548.25,8098.15,7199.99,1348.26,0.0,0.0,0.0,Aug-12,5199.18,,Sep-12,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0
82288,7668384,9350360,4800,4800,4800.0, 36 months,19.2,176.44,D,D3,wholesale rep,10+ years,OWN,45000.0,Source Verified,Oct-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7668384,,debt_consolidation,consolidate,371xx,TN,22.15,3.0,Jan-99,2.0,7.0,,11.0,0.0,2629,14.8,39.0,f,0.0,0.0,5492.792765,5492.79,4800.0,692.79,0.0,0.0,0.0,Aug-14,3905.59,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,11089.0,,,,,,,,,,,,17800.0,,,,0
